date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500
2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-02-01,1,2,2,3,6,8,9,11,12,15,25,54,150,4.0165028515956801,7.7539133600291227,10.5933745904623225,15.0224487319500061,23.4922946244387817,29.7536706710350686,34.3526271083606358,38.2477854629292562,41.7789103264166970,53.1852930469603203,69.4818589976944546,82.1138211382113821,93.3139182138090038
2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-03-01,1,2,3,4,5,8,11,11,13,14,26,56,149,6.1455213064064161,8.9573871871678423,11.3634167552420524,15.7406512706541695,23.4322156730118852,29.7709923664122137,35.0275388926466325,39.5303894096047927,43.4727993042806068,55.8411440718910040,71.5817953425451734,82.7712822494927046,92.3760749830901536
2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-04-01,1,1,2,3,6,9,10,12,12,16,27,56,143,6.9906323185011710,9.6135831381733021,12.1311475409836066,16.8618266978922717,25.5269320843091335,31.8618266978922717,36.7447306791569087,40.9367681498829040,44.7540983606557377,55.6323185011709602,69.3676814988290398,80.0468384074941452,91.0538641686182670
2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-05-01,1,1,1,2,4,6,9,10,12,19,30,57,154,6.6076947671320473,9.0909090909090909,11.4782052648406693,15.4854524139401044,23.2335074070126825,29.2656932750719386,34.1575189171906640,38.2926569327507194,41.8842587658531387,52.7656399872109134,68.2724075455611212,79.9957369711179793,91.0263242033464777
2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-06-01,1,1,2,3,3,5,7,9,9,11,27,53,148,4.9241637232495325,8.3108248493662996,10.5443590276334926,14.4816123000207771,22.3041761894868066,28.9320590068564305,34.6353625597340536,39.5387492208601704,43.4136713068772076,54.4566798254726782,70.2160814460835238,81.0824849366299605,91.2009141907334303
2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-07-01,1,1,1,2,6,8,11,13,14,20,29,54,155,3.4391837670526195,6.5573770491803279,8.5291757422904964,12.4383812908403072,20.4402155221827353,26.7683136535595552,31.7436661698956781,35.8706866903588215,39.4589017539837212,50.5560013756735068,65.7801215178264359,77.8745844319614811,89.2582827009056517
2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-08-01,1,2,2,2,4,8,10,10,11,16,31,55,144,6.7477052840486232,9.8652112792524601,12.8173323410237327,16.6046473166294551,23.6004300008269247,28.8927478706689821,33.3498718266765898,37.2529562556851071,40.7756553377987265,51.9391383444968163,67.6589762672620524,79.8478458612420409,90.6888282477466303
2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-09-01,1,1,1,2,5,5,9,10,11,21,29,51,141,3.6937852063902484,7.0920675962692769,10.3518330409086712,15.1629882722319697,24.8037676609105181,30.8338720103425986,35.8574198910333364,40.0406316372702927,43.6882445285806630,54.4925662572721396,68.0949302798042294,79.8873395512050974,90.5531443346569397
2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-10-01,0,1,2,3,6,9,11,13,13,19,28,46,129,4.9345613184682501,8.3373727581192438,11.3523994183228308,14.9200193892389724,21.7450315075133301,26.9898206495395056,31.6626272418807562,35.9088705768298594,39.5734367426078526,50.5477460009694619,64.9539505574406205,77.4697043141056714,88.8511875908870577
2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2017-11-01,1,2,2,3,6,9,10,13,14,17,24,51,122,3.0296847903702948,5.7227379373661124,8.0485565643170458,11.5372845047434459,18.6779557278384168,23.8498418851372029,28.4606753034785270,32.6838722839946955,36.4582270733448944,47.7608895236152198,62.1238396409262471,74.3343874324186474,86.5143323472406406
